game_pk,game_date,home_team,away_team,home_moneyline,away_moneyline,home_decimal,away_decimal,source_match_ts,hours_delta,source_href
777737,2025-05-28,New York Mets,Chicago White Sox,-312,227,1.32,3.27,2025-05-27 23:10:00+00:00,18.0,/baseball-odds/usa-mlb/ny-mets-white-sox-2025-05-28/1148832
777738,2025-05-28,Detroit Tigers,San Francisco Giants,-116,-111,1.86,1.9,2025-05-28 17:10:00+00:00,0.0,/baseball-odds/usa-mlb/detroit-san-francisco-2025-05-28/1148843
777739,2025-05-28,Cleveland Guardians,Los Angeles Dodgers,144,-175,2.44,1.57,2025-05-28 17:10:00+00:00,0.0,/baseball-odds/usa-mlb/cleveland-la-dodgers-2025-05-28/1150154
777740,2025-05-28,Baltimore Orioles,St. Louis Cardinals,-119,-109,1.84,1.92,2025-05-28 22:35:00+00:00,0.0,/baseball-odds/usa-mlb/baltimore-st-louis-2025-05-29/1148847
777722,2025-05-29,Seattle Mariners,Washington Nationals,-122,-105,1.82,1.95,2025-05-30 01:40:00+00:00,0.0,/baseball-odds/usa-mlb/seattle-washington-2025-05-30/1148857
777723,2025-05-29,Philadelphia Phillies,Atlanta Braves,103,-118,2.03,1.85,2025-05-29 22:45:00+00:00,0.0,/baseball-odds/usa-mlb/philadelphia-atlanta-2025-05-30/1148856
777725,2025-05-29,Houston Astros,Tampa Bay Rays,-119,-106,1.84,1.94,2025-05-30 00:10:00+00:00,0.0,/baseball-odds/usa-mlb/houston-tampa-bay-2025-05-30/1150156
777727,2025-05-29,Toronto Blue Jays,Athletics,-167,138,1.6,2.38,2025-05-29 23:07:00+00:00,0.0,/baseball-odds/usa-mlb/toronto-athletics-2025-05-30/1149982
777735,2025-05-29,Philadelphia Phillies,Atlanta Braves,-156,135,1.64,2.35,2025-05-29 17:05:00+00:00,0.0,/baseball-odds/usa-mlb/philadelphia-atlanta-2025-05-29/1151910
777707,2025-05-30,San Diego Padres,Pittsburgh Pirates,-192,147,1.52,2.47,2025-05-31 01:40:00+00:00,0.0,/baseball-odds/usa-mlb/san-diego-pittsburgh-2025-05-31/1148869
777708,2025-05-30,Los Angeles Dodgers,New York Yankees,112,-137,2.12,1.73,2025-05-31 02:10:00+00:00,0.0,/baseball-odds/usa-mlb/la-dodgers-ny-yankees-2025-05-31/1148871
777709,2025-05-30,Texas Rangers,St. Louis Cardinals,105,-132,2.05,1.76,2025-05-31 00:05:00+00:00,0.0,/baseball-odds/usa-mlb/texas-st-louis-2025-05-31/1148866
777710,2025-05-30,Arizona Diamondbacks,Washington Nationals,-233,181,1.43,2.81,2025-05-31 01:40:00+00:00,0.0,/baseball-odds/usa-mlb/arizona-washington-2025-05-31/1148868
777711,2025-05-30,Kansas City Royals,Detroit Tigers,-102,-128,1.98,1.78,2025-05-31 00:10:00+00:00,0.0,/baseball-odds/usa-mlb/kansas-city-detroit-2025-05-31/1148867
777712,2025-05-30,Chicago Cubs,Cincinnati Reds,-169,131,1.59,2.31,2025-05-30 18:20:00+00:00,0.0,/baseball-odds/usa-mlb/cubs-cincinnati-2025-05-30/1148860
777713,2025-05-30,Seattle Mariners,Minnesota Twins,-161,127,1.62,2.27,2025-05-31 02:10:00+00:00,0.0,/baseball-odds/usa-mlb/seattle-minnesota-2025-05-31/1148870
777714,2025-05-30,Houston Astros,Tampa Bay Rays,-156,125,1.64,2.25,2025-05-31 00:10:00+00:00,0.0,/baseball-odds/usa-mlb/houston-tampa-bay-2025-05-31/1150158
777715,2025-05-30,Philadelphia Phillies,Milwaukee Brewers,-127,102,1.79,2.02,2025-05-30 22:45:00+00:00,0.0,/baseball-odds/usa-mlb/philadelphia-milwaukee-2025-05-31/1148861
777716,2025-05-30,Toronto Blue Jays,Athletics,-185,154,1.54,2.54,2025-05-30 23:07:00+00:00,0.0,/baseball-odds/usa-mlb/toronto-athletics-2025-05-31/1149983
777717,2025-05-30,Miami Marlins,San Francisco Giants,133,-172,2.33,1.58,2025-05-30 23:10:00+00:00,0.0,/baseball-odds/usa-mlb/miami-san-francisco-2025-05-31/1148863
777718,2025-05-30,New York Mets,Colorado Rockies,-312,227,1.32,3.27,2025-05-30 23:10:00+00:00,0.0,/baseball-odds/usa-mlb/ny-mets-colorado-2025-05-31/1148864
777719,2025-05-30,Atlanta Braves,Boston Red Sox,-189,140,1.53,2.4,2025-05-30 23:15:00+00:00,0.0,/baseball-odds/usa-mlb/atlanta-boston-2025-05-31/1148865
777721,2025-05-30,Cleveland Guardians,Los Angeles Angels,-147,120,1.68,2.2,2025-05-30 23:10:00+00:00,0.0,/baseball-odds/usa-mlb/cleveland-la-angels-2025-05-31/1150157
777691,2025-05-31,San Diego Padres,Pittsburgh Pirates,-233,191,1.43,2.91,2025-06-01 01:40:00+00:00,0.0,/baseball-odds/usa-mlb/san-diego-pittsburgh-2025-06-01/1148884
777693,2025-05-31,Houston Astros,Tampa Bay Rays,-139,106,1.72,2.06,2025-05-31 20:10:00+00:00,0.0,/baseball-odds/usa-mlb/houston-tampa-bay-2025-05-31/1150159
777694,2025-05-31,Kansas City Royals,Detroit Tigers,144,-189,2.44,1.53,2025-05-31 20:10:00+00:00,0.0,/baseball-odds/usa-mlb/kansas-city-detroit-2025-05-31/1148879
777695,2025-05-31,Seattle Mariners,Minnesota Twins,-108,-115,1.93,1.87,2025-05-31 23:15:00+00:00,0.0,/baseball-odds/usa-mlb/seattle-minnesota-2025-06-01/1148882
777696,2025-05-31,Arizona Diamondbacks,Washington Nationals,-200,147,1.5,2.47,2025-06-01 02:10:00+00:00,0.0,/baseball-odds/usa-mlb/arizona-washington-2025-06-01/1148885
777697,2025-05-31,Texas Rangers,St. Louis Cardinals,121,-152,2.21,1.66,2025-05-31 20:05:00+00:00,0.0,/baseball-odds/usa-mlb/texas-st-louis-2025-05-31/1148875
777698,2025-05-31,Los Angeles Dodgers,New York Yankees,101,-125,2.01,1.8,2025-05-31 23:15:00+00:00,0.0,/baseball-odds/usa-mlb/la-dodgers-ny-yankees-2025-06-01/1148883
777699,2025-05-31,Baltimore Orioles,Chicago White Sox,-179,136,1.56,2.36,2025-05-31 20:05:00+00:00,0.0,/baseball-odds/usa-mlb/baltimore-white-sox-2025-05-31/1148877
777700,2025-05-31,New York Mets,Colorado Rockies,-345,263,1.29,3.63,2025-05-31 20:10:00+00:00,0.0,/baseball-odds/usa-mlb/ny-mets-colorado-2025-05-31/1148881
777701,2025-05-31,Toronto Blue Jays,Athletics,-149,135,1.67,2.35,2025-05-31 19:07:00+00:00,0.0,/baseball-odds/usa-mlb/toronto-athletics-2025-05-31/1149984
777702,2025-05-31,Philadelphia Phillies,Milwaukee Brewers,-182,144,1.55,2.44,2025-05-31 20:05:00+00:00,0.0,/baseball-odds/usa-mlb/philadelphia-milwaukee-2025-05-31/1148876
777703,2025-05-31,Cleveland Guardians,Los Angeles Angels,-175,146,1.57,2.46,2025-05-31 20:10:00+00:00,0.0,/baseball-odds/usa-mlb/cleveland-la-angels-2025-05-31/1150160
777704,2025-05-31,Chicago Cubs,Cincinnati Reds,-179,133,1.56,2.33,2025-05-31 18:20:00+00:00,0.0,/baseball-odds/usa-mlb/cubs-cincinnati-2025-05-31/1148874
777705,2025-05-31,Miami Marlins,San Francisco Giants,114,-143,2.14,1.7,2025-05-31 20:10:00+00:00,0.0,/baseball-odds/usa-mlb/miami-san-francisco-2025-05-31/1148878
777706,2025-05-31,Atlanta Braves,Boston Red Sox,-189,149,1.53,2.49,2025-05-31 20:10:00+00:00,0.0,/baseball-odds/usa-mlb/atlanta-boston-2025-05-31/1148880
777677,2025-06-01,Kansas City Royals,Detroit Tigers,-164,131,1.61,2.31,2025-06-01 18:10:00+00:00,0.0,/baseball-odds/usa-mlb/kansas-city-detroit-2025-06-01/1148894
777678,2025-06-01,Texas Rangers,St. Louis Cardinals,-167,133,1.6,2.33,2025-06-01 17:05:00+00:00,0.0,/baseball-odds/usa-mlb/texas-st-louis-2025-06-01/1148888
777679,2025-06-01,Arizona Diamondbacks,Washington Nationals,-244,188,1.41,2.88,2025-06-01 20:10:00+00:00,0.0,/baseball-odds/usa-mlb/arizona-washington-2025-06-01/1148896
777680,2025-06-01,Seattle Mariners,Minnesota Twins,-132,103,1.76,2.03,2025-06-01 20:10:00+00:00,0.0,/baseball-odds/usa-mlb/seattle-minnesota-2025-06-01/1148897
777681,2025-06-01,San Diego Padres,Pittsburgh Pirates,-147,117,1.68,2.17,2025-06-01 21:10:00+00:00,0.0,/baseball-odds/usa-mlb/san-diego-pittsburgh-2025-06-01/1148898
777682,2025-06-01,Los Angeles Dodgers,New York Yankees,-182,140,1.55,2.4,2025-06-01 23:10:00+00:00,0.0,/baseball-odds/usa-mlb/la-dodgers-ny-yankees-2025-06-02/1148899
777683,2025-06-01,Cleveland Guardians,Los Angeles Angels,-222,163,1.45,2.63,2025-06-01 17:40:00+00:00,0.0,/baseball-odds/usa-mlb/cleveland-la-angels-2025-06-01/1150161
777684,2025-06-01,Baltimore Orioles,Chicago White Sox,-145,117,1.69,2.17,2025-06-01 17:35:00+00:00,0.0,/baseball-odds/usa-mlb/baltimore-white-sox-2025-06-01/1148889
777685,2025-06-01,Toronto Blue Jays,Athletics,-270,208,1.37,3.08,2025-06-01 17:37:00+00:00,0.0,/baseball-odds/usa-mlb/toronto-athletics-2025-06-01/1149985
777686,2025-06-01,New York Mets,Colorado Rockies,-417,312,1.24,4.12,2025-06-01 17:40:00+00:00,0.0,/baseball-odds/usa-mlb/ny-mets-colorado-2025-06-01/1148893
777687,2025-06-01,Chicago Cubs,Cincinnati Reds,-167,129,1.6,2.29,2025-06-01 18:20:00+00:00,0.0,/baseball-odds/usa-mlb/cubs-cincinnati-2025-06-01/1148895
777688,2025-06-01,Philadelphia Phillies,Milwaukee Brewers,-159,123,1.63,2.23,2025-06-01 17:35:00+00:00,0.0,/baseball-odds/usa-mlb/philadelphia-milwaukee-2025-06-01/1148890
777689,2025-06-01,Miami Marlins,San Francisco Giants,-108,-115,1.93,1.87,2025-06-01 17:40:00+00:00,0.0,/baseball-odds/usa-mlb/miami-san-francisco-2025-06-01/1148892
777690,2025-06-01,Houston Astros,Tampa Bay Rays,-172,133,1.58,2.33,2025-06-01 18:10:00+00:00,0.0,/baseball-odds/usa-mlb/houston-tampa-bay-2025-06-01/1150162
777692,2025-06-01,Atlanta Braves,Boston Red Sox,-104,-119,1.96,1.84,2025-06-01 17:35:00+00:00,0.0,/baseball-odds/usa-mlb/atlanta-boston-2025-06-01/1148891
777669,2025-06-02,Athletics,Minnesota Twins,139,-169,2.39,1.59,2025-06-03 02:05:00+00:00,0.0,/baseball-odds/usa-mlb/athletics-minnesota-2025-06-03/1149986
777670,2025-06-02,Boston Red Sox,Los Angeles Angels,-143,114,1.7,2.14,2025-06-02 23:10:00+00:00,0.0,/baseball-odds/usa-mlb/boston-la-angels-2025-06-03/1148903
777671,2025-06-02,Cincinnati Reds,Milwaukee Brewers,-111,-110,1.9,1.91,2025-06-02 23:10:00+00:00,0.0,/baseball-odds/usa-mlb/cincinnati-milwaukee-2025-06-03/1148902
777673,2025-06-02,Miami Marlins,Colorado Rockies,-222,166,1.45,2.66,2025-06-02 22:40:00+00:00,0.0,/baseball-odds/usa-mlb/miami-colorado-2025-06-03/1148901
777674,2025-06-02,Chicago White Sox,Detroit Tigers,200,-270,3.0,1.37,2025-06-02 23:40:00+00:00,0.0,/baseball-odds/usa-mlb/white-sox-detroit-2025-06-03/1150163
777675,2025-06-02,Los Angeles Dodgers,New York Mets,-161,135,1.62,2.35,2025-06-03 02:10:00+00:00,0.0,/baseball-odds/usa-mlb/la-dodgers-ny-mets-2025-06-03/1148905
777676,2025-06-02,San Francisco Giants,San Diego Padres,-182,138,1.55,2.38,2025-06-03 01:45:00+00:00,0.0,/baseball-odds/usa-mlb/san-francisco-san-diego-2025-06-03/1148904
777655,2025-06-03,Seattle Mariners,Baltimore Orioles,-156,119,1.64,2.19,2025-06-04 01:40:00+00:00,0.0,/baseball-odds/usa-mlb/seattle-baltimore-2025-06-04/1148917
777656,2025-06-03,San Francisco Giants,San Diego Padres,-169,128,1.59,2.28,2025-06-04 01:45:00+00:00,0.0,/baseball-odds/usa-mlb/san-francisco-san-diego-2025-06-04/1148918
777657,2025-06-03,Los Angeles Dodgers,New York Mets,-154,123,1.65,2.23,2025-06-04 02:10:00+00:00,0.0,/baseball-odds/usa-mlb/la-dodgers-ny-mets-2025-06-04/1148919
777658,2025-06-03,Athletics,Minnesota Twins,169,-208,2.69,1.48,2025-06-04 02:05:00+00:00,0.0,/baseball-odds/usa-mlb/athletics-minnesota-2025-06-04/1149987
777659,2025-06-03,Washington Nationals,Chicago Cubs,117,-147,2.17,1.68,2025-06-03 22:45:00+00:00,0.0,/baseball-odds/usa-mlb/washington-cubs-2025-06-04/1148910
777660,2025-06-03,St. Louis Cardinals,Kansas City Royals,-159,127,1.63,2.27,2025-06-03 23:45:00+00:00,0.0,/baseball-odds/usa-mlb/st-louis-kansas-city-2025-06-04/1148916
777661,2025-06-03,Chicago White Sox,Detroit Tigers,123,-164,2.23,1.61,2025-06-03 23:40:00+00:00,0.0,/baseball-odds/usa-mlb/white-sox-detroit-2025-06-04/1150165
777662,2025-06-03,Tampa Bay Rays,Texas Rangers,-159,124,1.63,2.24,2025-06-03 23:35:00+00:00,0.0,/baseball-odds/usa-mlb/tampa-bay-texas-2025-06-04/1150164
777663,2025-06-03,Pittsburgh Pirates,Houston Astros,-179,136,1.56,2.36,2025-06-03 22:40:00+00:00,0.0,/baseball-odds/usa-mlb/pittsburgh-houston-2025-06-04/1148909
777664,2025-06-03,New York Yankees,Cleveland Guardians,-213,172,1.47,2.72,2025-06-03 23:05:00+00:00,0.0,/baseball-odds/usa-mlb/ny-yankees-cleveland-2025-06-04/1148911
777665,2025-06-03,Toronto Blue Jays,Philadelphia Phillies,106,-135,2.06,1.74,2025-06-03 23:07:00+00:00,0.0,/baseball-odds/usa-mlb/toronto-philadelphia-2025-06-04/1148912
777666,2025-06-03,Miami Marlins,Colorado Rockies,-182,146,1.55,2.46,2025-06-03 22:40:00+00:00,0.0,/baseball-odds/usa-mlb/miami-colorado-2025-06-04/1148908
777667,2025-06-03,Boston Red Sox,Los Angeles Angels,-161,121,1.62,2.21,2025-06-03 23:10:00+00:00,0.0,/baseball-odds/usa-mlb/boston-la-angels-2025-06-04/1148913
777668,2025-06-03,Cincinnati Reds,Milwaukee Brewers,-133,105,1.75,2.05,2025-06-03 23:10:00+00:00,0.0,/baseball-odds/usa-mlb/cincinnati-milwaukee-2025-06-04/1148914
777672,2025-06-03,Atlanta Braves,Arizona Diamondbacks,-169,128,1.59,2.28,2025-06-03 23:15:00+00:00,0.0,/baseball-odds/usa-mlb/atlanta-arizona-2025-06-04/1148915
777638,2025-06-04,Los Angeles Dodgers,New York Mets,-152,121,1.66,2.21,2025-06-05 02:10:00+00:00,0.0,/baseball-odds/usa-mlb/la-dodgers-ny-mets-2025-06-05/1148933
777639,2025-06-04,Chicago White Sox,Detroit Tigers,161,-204,2.61,1.49,2025-06-04 23:40:00+00:00,0.0,/baseball-odds/usa-mlb/white-sox-detroit-2025-06-05/1150167
777641,2025-06-04,San Francisco Giants,San Diego Padres,-109,-116,1.92,1.86,2025-06-05 01:45:00+00:00,0.0,/baseball-odds/usa-mlb/san-francisco-san-diego-2025-06-05/1148932
777643,2025-06-04,Athletics,Minnesota Twins,142,-179,2.42,1.56,2025-06-05 02:05:00+00:00,0.0,/baseball-odds/usa-mlb/athletics-minnesota-2025-06-05/1149988
777645,2025-06-04,Seattle Mariners,Baltimore Orioles,-111,-114,1.9,1.88,2025-06-05 01:40:00+00:00,0.0,/baseball-odds/usa-mlb/seattle-baltimore-2025-06-05/1148931
777646,2025-06-04,Tampa Bay Rays,Texas Rangers,-132,106,1.76,2.06,2025-06-04 23:35:00+00:00,0.0,/baseball-odds/usa-mlb/tampa-bay-texas-2025-06-05/1150166
