game_id,game_date,week,home_team,away_team,home_score,away_score,predicted_spread,home_win_probability,confidence,model_disagreement,home_win_prob_from_model,win_prob_from_spread,home_win,actual_margin,predicted_margin,predicted_home_win,correct_winner
2025_04_NO_BUF,2025-09-28,4,BUF,NO,31,19,-2.635953431618592,0.742178434923022,0.4843568698460441,0.2000806512257639,0.8655830188452738,0.6655023676195099,1,12,2.635953431618592,1,True
2025_04_PHI_TB,2025-09-28,4,TB,PHI,25,31,-3.531982101946826,0.5822486027195027,0.16449720543900548,0.5608648436901141,0.1615999699519172,0.7224648136420313,0,-6,3.531982101946826,1,False
2025_04_TEN_HOU,2025-09-28,4,HOU,TEN,26,0,-0.14477154616996532,0.42675813996934087,0.14648372006131827,0.1187508237073428,0.3663930074968743,0.4851438312042171,1,26,0.14477154616996532,0,False
2025_04_WAS_ATL,2025-09-28,4,ATL,WAS,34,27,1.3075819337834071,0.30236916504613487,0.39526166990773026,0.2904381941749549,0.08824333757075552,0.37868153174571045,1,7,-1.3075819337834071,0,False
2025_04_CIN_DEN,2025-09-29,4,DEN,CIN,28,3,-1.6262330771195022,0.547026124477959,0.0940522489559179,0.09085961001265241,0.5042179693313289,0.5950775793439813,1,25,1.6262330771195022,1,True
2025_04_NYJ_MIA,2025-09-29,4,MIA,NYJ,27,21,-2.4136893575465628,0.5713305703741424,0.14266114074828473,0.2376043852861789,0.41289457698101584,0.6504989622671947,1,6,2.4136893575465628,1,True
2025_05_SF_LA,2025-10-02,5,LA,SF,23,26,-0.7274099154375133,0.583223560326458,0.1664471206529159,0.10736655407912155,0.6361719568339171,0.5288054027547956,0,-3,0.7274099154375133,1,False
2025_05_DAL_NYJ,2025-10-05,5,NYJ,DAL,22,37,-5.503854799872895,0.6579586184357504,0.31591723687150086,0.6668278345114689,0.15783774255214875,0.8246655770636176,0,-15,5.503854799872895,1,False
2025_05_DEN_PHI,2025-10-05,5,PHI,DEN,17,21,1.6844834807526006,0.2984769231103156,0.4030461537793688,0.1061908537908759,0.24627479437839545,0.35246564816927134,0,-4,-1.6844834807526006,0,True
2025_05_DET_CIN,2025-10-05,5,CIN,DET,24,37,-4.017208279474997,0.6049404951898139,0.2098809903796277,0.5829929037992867,0.16769581734034875,0.7506887211396355,0,-13,4.017208279474997,1,False
2025_05_HOU_BAL,2025-10-05,5,BAL,HOU,10,44,-8.760716849478227,0.9100335732625087,0.8200671465250173,0.025771284833723596,0.9001280780747308,0.9258993629084544,0,-34,8.760716849478227,1,False
