game_pk,game_date,home_team,away_team,home_moneyline,away_moneyline,source_url
825069,2026-06-19,Arizona Diamondbacks,Minnesota Twins,-172,144,https://fantasydata.com/mlb/arizona-diamondbacks-odds
822885,2026-06-20,Texas Rangers,San Diego Padres,-128,107,https://fantasydata.com/mlb/san-diego-padres-odds
822967,2026-06-20,Tampa Bay Rays,Washington Nationals,-125,106,https://fantasydata.com/mlb/tampa-bay-rays-odds
823126,2026-06-20,Seattle Mariners,Boston Red Sox,-129,109,https://fantasydata.com/mlb/boston-red-sox-odds
823447,2026-06-20,Philadelphia Phillies,New York Mets,-194,162,https://fantasydata.com/mlb/new-york-mets-odds
823532,2026-06-20,New York Yankees,Cincinnati Reds,-201,168,https://fantasydata.com/mlb/cincinnati-reds-odds
823854,2026-06-20,Miami Marlins,San Francisco Giants,-146,122,https://fantasydata.com/mlb/miami-marlins-odds
823937,2026-06-20,Los Angeles Dodgers,Baltimore Orioles,-274,224,https://fantasydata.com/mlb/baltimore-orioles-odds
824180,2026-06-20,Houston Astros,Cleveland Guardians,-155,130,https://fantasydata.com/mlb/cleveland-guardians-odds
824263,2026-06-20,Detroit Tigers,Chicago White Sox,-123,104,https://fantasydata.com/mlb/chicago-white-sox-odds
824342,2026-06-20,Colorado Rockies,Pittsburgh Pirates,187,-226,https://fantasydata.com/mlb/colorado-rockies-odds
824665,2026-06-20,Chicago Cubs,Toronto Blue Jays,-138,116,https://fantasydata.com/mlb/chicago-cubs-odds
824909,2026-06-20,Atlanta Braves,Milwaukee Brewers,-137,115,https://fantasydata.com/mlb/atlanta-braves-odds
824988,2026-06-20,Athletics,Los Angeles Angels,-163,136,https://fantasydata.com/mlb/athletics-odds
825068,2026-06-20,Arizona Diamondbacks,Minnesota Twins,-120,101,https://fantasydata.com/mlb/arizona-diamondbacks-odds
822883,2026-06-21,Texas Rangers,San Diego Padres,-165,138,https://fantasydata.com/mlb/san-diego-padres-odds
822968,2026-06-21,Tampa Bay Rays,Washington Nationals,-131,111,https://fantasydata.com/mlb/tampa-bay-rays-odds
823123,2026-06-21,Seattle Mariners,Boston Red Sox,-128,108,https://fantasydata.com/mlb/boston-red-sox-odds
823449,2026-06-21,Philadelphia Phillies,New York Mets,-185,154,https://fantasydata.com/mlb/new-york-mets-odds
823531,2026-06-21,New York Yankees,Cincinnati Reds,-113,-105,https://fantasydata.com/mlb/cincinnati-reds-odds
823852,2026-06-21,Miami Marlins,San Francisco Giants,123,-146,https://fantasydata.com/mlb/miami-marlins-odds
823934,2026-06-21,Los Angeles Dodgers,Baltimore Orioles,-239,196,https://fantasydata.com/mlb/baltimore-orioles-odds
824095,2026-06-21,Kansas City Royals,St. Louis Cardinals,109,-130,https://fantasydata.com/mlb/kansas-city-royals-odds
824177,2026-06-21,Houston Astros,Cleveland Guardians,-135,114,https://fantasydata.com/mlb/cleveland-guardians-odds
824260,2026-06-21,Detroit Tigers,Chicago White Sox,-120,101,https://fantasydata.com/mlb/chicago-white-sox-odds
824343,2026-06-21,Colorado Rockies,Pittsburgh Pirates,126,-149,https://fantasydata.com/mlb/colorado-rockies-odds
824908,2026-06-21,Atlanta Braves,Milwaukee Brewers,-118,-101,https://fantasydata.com/mlb/atlanta-braves-odds
824987,2026-06-21,Athletics,Los Angeles Angels,-132,111,https://fantasydata.com/mlb/athletics-odds
825067,2026-06-21,Arizona Diamondbacks,Minnesota Twins,-133,113,https://fantasydata.com/mlb/arizona-diamondbacks-odds
822720,2026-06-22,Washington Nationals,Philadelphia Phillies,-126,106,https://fantasydata.com/mlb/philadelphia-phillies-odds
822800,2026-06-22,Toronto Blue Jays,Houston Astros,-136,115,https://fantasydata.com/mlb/houston-astros-odds
822964,2026-06-22,Tampa Bay Rays,Kansas City Royals,-194,160,https://fantasydata.com/mlb/kansas-city-royals-odds
823040,2026-06-22,St. Louis Cardinals,Arizona Diamondbacks,-152,128,https://fantasydata.com/mlb/arizona-diamondbacks-odds
823288,2026-06-22,San Diego Padres,Atlanta Braves,-114,-104,https://fantasydata.com/mlb/atlanta-braves-odds
823692,2026-06-22,Minnesota Twins,Los Angeles Dodgers,127,-153,https://fantasydata.com/mlb/los-angeles-dodgers-odds
823851,2026-06-22,Miami Marlins,Texas Rangers,-136,115,https://fantasydata.com/mlb/miami-marlins-odds
824016,2026-06-22,Los Angeles Angels,Baltimore Orioles,137,-163,https://fantasydata.com/mlb/baltimore-orioles-odds
824261,2026-06-22,Detroit Tigers,New York Yankees,108,-129,https://fantasydata.com/mlb/detroit-tigers-odds
824344,2026-06-22,Colorado Rockies,Boston Red Sox,118,-140,https://fantasydata.com/mlb/boston-red-sox-odds
824502,2026-06-22,Cincinnati Reds,Milwaukee Brewers,129,-153,https://fantasydata.com/mlb/cincinnati-reds-odds
824585,2026-06-22,Chicago White Sox,Cleveland Guardians,-110,-109,https://fantasydata.com/mlb/chicago-white-sox-odds
822718,2026-06-23,Washington Nationals,Philadelphia Phillies,159,-191,https://fantasydata.com/mlb/philadelphia-phillies-odds
822799,2026-06-23,Toronto Blue Jays,Houston Astros,-123,104,https://fantasydata.com/mlb/houston-astros-odds
822963,2026-06-23,Tampa Bay Rays,Kansas City Royals,-189,157,https://fantasydata.com/mlb/kansas-city-royals-odds
823043,2026-06-23,St. Louis Cardinals,Arizona Diamondbacks,-110,-108,https://fantasydata.com/mlb/arizona-diamondbacks-odds
823210,2026-06-23,San Francisco Giants,Athletics,-143,121,https://fantasydata.com/mlb/athletics-odds
823286,2026-06-23,San Diego Padres,Atlanta Braves,-108,-111,https://fantasydata.com/mlb/atlanta-braves-odds
823365,2026-06-23,Pittsburgh Pirates,Seattle Mariners,112,-133,https://fantasydata.com/mlb/pittsburgh-pirates-odds
823614,2026-06-23,New York Mets,Chicago Cubs,-107,-112,https://fantasydata.com/mlb/chicago-cubs-odds
823690,2026-06-23,Minnesota Twins,Los Angeles Dodgers,145,-173,https://fantasydata.com/mlb/los-angeles-dodgers-odds
823849,2026-06-23,Miami Marlins,Texas Rangers,-159,134,https://fantasydata.com/mlb/miami-marlins-odds
824017,2026-06-23,Los Angeles Angels,Baltimore Orioles,121,-142,https://fantasydata.com/mlb/baltimore-orioles-odds
824262,2026-06-23,Detroit Tigers,New York Yankees,-101,-117,https://fantasydata.com/mlb/detroit-tigers-odds
824340,2026-06-23,Colorado Rockies,Boston Red Sox,136,-164,https://fantasydata.com/mlb/boston-red-sox-odds
824501,2026-06-23,Cincinnati Reds,Milwaukee Brewers,-111,-106,https://fantasydata.com/mlb/cincinnati-reds-odds
824584,2026-06-23,Chicago White Sox,Cleveland Guardians,-104,-114,https://fantasydata.com/mlb/chicago-white-sox-odds
822719,2026-06-24,Washington Nationals,Philadelphia Phillies,104,-124,https://fantasydata.com/mlb/philadelphia-phillies-odds
822798,2026-06-24,Toronto Blue Jays,Houston Astros,-143,121,https://fantasydata.com/mlb/houston-astros-odds
822965,2026-06-24,Tampa Bay Rays,Kansas City Royals,-153,128,https://fantasydata.com/mlb/kansas-city-royals-odds
823041,2026-06-24,St. Louis Cardinals,Arizona Diamondbacks,-116,-103,https://fantasydata.com/mlb/arizona-diamondbacks-odds
