game_pk,game_date,home_team,away_team,home_moneyline,away_moneyline,source
778262,2025-04-19,Baltimore Orioles,Cincinnati Reds,-132,106,checkbestodds
778264,2025-04-19,Boston Red Sox,Chicago White Sox,-357,270,checkbestodds
778265,2025-04-19,Detroit Tigers,Kansas City Royals,-130,106,checkbestodds
778267,2025-04-19,Atlanta Braves,Minnesota Twins,-250,185,checkbestodds
778232,2025-04-20,Los Angeles Angels,San Francisco Giants,-119,-104,checkbestodds
778234,2025-04-20,Texas Rangers,Los Angeles Dodgers,129,-167,checkbestodds
778235,2025-04-20,Colorado Rockies,Washington Nationals,-120,-108,checkbestodds
778236,2025-04-20,Chicago Cubs,Arizona Diamondbacks,-152,120,checkbestodds
778237,2025-04-20,Houston Astros,San Diego Padres,-122,-104,checkbestodds
778239,2025-04-20,Milwaukee Brewers,Athletics,-143,118,checkbestodds
778240,2025-04-20,Tampa Bay Rays,New York Yankees,140,-189,checkbestodds
778241,2025-04-20,Toronto Blue Jays,Seattle Mariners,-109,-116,checkbestodds
778242,2025-04-20,Pittsburgh Pirates,Cleveland Guardians,-118,-103,checkbestodds
778244,2025-04-20,New York Mets,St. Louis Cardinals,-143,114,checkbestodds
778245,2025-04-20,Boston Red Sox,Chicago White Sox,-294,212,checkbestodds
778246,2025-04-20,Detroit Tigers,Kansas City Royals,-238,195,checkbestodds
778248,2025-04-20,Philadelphia Phillies,Miami Marlins,-357,284,checkbestodds
778249,2025-04-20,Atlanta Braves,Minnesota Twins,-120,-104,checkbestodds
778250,2025-04-20,Baltimore Orioles,Cincinnati Reds,-222,163,checkbestodds
778266,2025-04-20,Colorado Rockies,Washington Nationals,-110,-120,checkbestodds
778225,2025-04-21,New York Mets,Philadelphia Phillies,-145,113,checkbestodds
778226,2025-04-21,San Francisco Giants,Milwaukee Brewers,-145,111,checkbestodds
778227,2025-04-21,Cleveland Guardians,New York Yankees,101,-122,checkbestodds
778228,2025-04-21,Detroit Tigers,San Diego Padres,-154,120,checkbestodds
778230,2025-04-21,Miami Marlins,Cincinnati Reds,-108,-122,checkbestodds
778231,2025-04-21,Houston Astros,Toronto Blue Jays,-145,111,checkbestodds
778233,2025-04-21,Atlanta Braves,St. Louis Cardinals,-222,175,checkbestodds
778238,2025-04-21,Boston Red Sox,Chicago White Sox,-323,245,checkbestodds
778210,2025-04-22,San Francisco Giants,Milwaukee Brewers,-156,117,checkbestodds
778211,2025-04-22,Los Angeles Angels,Pittsburgh Pirates,-185,142,checkbestodds
778212,2025-04-22,Arizona Diamondbacks,Tampa Bay Rays,-200,147,checkbestodds
778213,2025-04-22,Athletics,Texas Rangers,-125,101,checkbestodds
