Id,year,date,name,course,City,State,Lat,Long,Course Par,Winning Score,CutLine,day0,day0low,day0high,day0avg,day0precip,day0wind,day1,day1low,day1high,day1avg,day1precip,day1wind,day2,day2low,day2high,day2avg,day2precip,day2wind
292022,2022,Apr 14 - 17,RBC Heritage,"Harbour Town Golf Links - Hilton Head Island, SC. ",Hilton Head Island,SC,32.16,-80.75,71,-13,0,4/13/2022,64.4,78.8,70.7,0,10.4741,4/14/2022,68,77,72.14,0,13.0063,4/15/2022,64.4,71.6,68.18,0,17.1499
302010,2010,Jul 8 - 11,John Deere Classic,"TPC Deere Run - Silvis, IL. ",Silvis,IL,41.51,-90.42,71,-26,-4,7/7/2010,71.06,84.92,76.1,1.88976378,7.9419,7/8/2010,71.06,84.92,76.46,0.011811024,9.3231,7/9/2010,64.94,84.02,74.84,0,10.0137
302013,2013,Jul 18 - 21,Sanderson Farms Championship,"Annandale GC - Madison, MS. ",Madison,MS,32.31,-90.2,72,-20,-3,7/17/2013,71.06,87.08,78.08,0.220472441,0,7/18/2013,68,89.06,77.36,0,0.4604,7/19/2013,71.06,87.98,78.26,0,0.8057
302014,2014,May 29 - Jun 1,the Memorial Tournament presented by Nationwide Insurance,"Muirfield Village Golf Club - Dublin, OH. ",Dublin,OH,40.1,-83.11,72,-13,0,5/28/2014,66.92,87.08,73.22,0,12.5459,5/29/2014,64.04,78.98,70.34,0,11.51,5/30/2014,53.96,80.06,67.46,0,12.4308
302016,2016,May 26 - 29,DEAN & DELUCA Invitational,"Colonial Country Club - Fort Worth, TX. ",Fort Worth,TX,32.75,-97.33,70,-17,1,5/25/2016,75.92,89.06,82.22,0,28.1995,5/26/2016,66.92,84.92,78.44,0.559055118,29.0052,5/27/2016,66.02,84.02,71.96,0.811023622,25.322
302017,2017,May 25 - 28,DEAN & DELUCA Invitational,"Colonial Country Club - Fort Worth, TX. ",Fort Worth,TX,32.75,-97.33,70,-10,4,5/24/2017,55.04,82.94,69.26,0,17.3801,5/25/2017,62.06,95,78.8,0,30.2713,5/26/2017,73.94,98.96,84.92,0,30.6166
302019,2019,May 2 - 5,Wells Fargo Championship,"Quail Hollow Club - Charlotte, NC. ",Charlotte,NC,35.23,-80.84,71,-15,1,5/1/2019,64.04,84.02,73.22,0,12.8912,5/2/2019,64.04,84.92,73.94,0,13.6969,5/3/2019,62.96,84.92,72.68,0,13.2365
302021,2021,Apr 1 - 4,Valero Texas Open,"TPC San Antonio (Oaks Course) - San Antonio, TX. ",San Antonio,TX,29.42,-98.5,72,-18,2,3/31/2010,51.8,81.32,66.74,0,17.3801,4/1/2021,54.14,70.52,62.96,0,17.9556,4/2/2021,52.34,74.3,62.78,0,18.416
312009,2009,Jul 16 - 19,U.S. Bank Championship in Milwaukee,"Brown Deer Park GC - Milwaukee, WI. ",Milwaukee,WI,43.03,-87.92,70,-13,1,7/15/2009,66.02,86,75.74,0.480314961,23.5955,7/16/2009,62.96,78.98,71.96,0,21.1784,7/17/2009,57.02,66.02,62.24,0,14.5026
312014,2014,Jun 5 - 8,FedEx St. Jude Classic,"TPC Southwind - Memphis, TN. ",Memphis,TN,35.15,-90.05,70,-10,0,6/4/2014,73.94,87.98,80.42,0,17.3801,6/5/2014,69.08,87.08,79.34,0.141732283,15.7687,6/6/2014,69.98,89.06,75.92,0.299212598,10.8194
312016,2016,Jun 2 - 5,the Memorial Tournament presented by Nationwide,"Muirfield Village Golf Club - Dublin, OH. ",Dublin,OH,40.1,-83.11,72,-15,-2,6/1/2016,62.06,86,74.66,0,9.3231,6/2/2016,66.92,82.04,74.48,0,8.4023,6/3/2016,66.02,84.92,75.02,0,8.1721
312017,2017,Jun 1 - 4,the Memorial Tournament presented by Nationwide,"Muirfield Village Golf Club - Dublin, OH. ",Dublin,OH,40.1,-83.11,72,-13,3,5/31/2017,53.06,78.08,66.74,0,16.4593,6/1/2017,50,77,65.66,0,11.0496,6/2/2017,55.04,80.06,68.54,0,5.755
312019,2019,May 9 - 12,AT&T Byron Nelson,"Trinity Forest Golf Club - Dallas, TX. ",Dallas,TX,32.78,-96.8,71,-23,-2,5/8/2019,62.96,73.04,69.08,2.61023622,15.7687,5/9/2019,55.04,77,67.46,0.031496063,19.1066,5/10/2019,51.98,60.98,56.48,0.070866142,15.3083
312021,2021,Apr 8 - 11,2021 Masters Tournament,"Augusta, GA",Augusta,GA,33.47,-81.97,72,-10,3,4/7/2021,62.06,84.92,73.58,0,6.4456,4/8/2021,59,80.06,71.06,0,12.0855,4/9/2021,64.94,75.02,69.44,0,9.7835
